included,category,dataset,mean,lower,upper,LR
10,24H-MFN,Gowalla,0.0738835342457297,0.06305154779085341,0.08562832008351937,SLR
10,24H-MFN,Weeplace,0.06195740223045538,0.05607787405262388,0.06826567301389957,SLR
10,All-MFN,BrightKite,0.07401074402500413,0.05191145458683729,0.09992364372567702,SLR
10,All-MFN,Gowalla,0.008595057441577448,0.006403637467818043,0.01198191106464763,SLR
10,All-MFN,Weeplace,0.006586777204447792,0.004244060749763947,0.009500359452854441,SLR
10,D-MFN,BrightKite,0.10006559141296777,0.0749120770623959,0.12812518756475927,SLR
10,D-MFN,Gowalla,0.07395237503256069,0.06342264764677487,0.08514918737144349,SLR
10,D-MFN,Weeplace,0.07254872760501627,0.06561831275127669,0.08051591500455678,SLR
10,H-MFN,BrightKite,0.09864799892431217,0.07413100320043865,0.12600256421513384,SLR
10,H-MFN,Gowalla,0.06897514401112492,0.05776793577667469,0.08136399185812851,SLR
10,H-MFN,Weeplace,0.0626698547656052,0.055728407983385,0.07007162014359523,SLR
10,TFN,BrightKite,0.041877472028412466,0.028579946385388064,0.05677395418026879,SLR
10,TFN,Gowalla,0.08455763741783476,0.06692669778431172,0.10385352172752899,SLR
10,TFN,Weeplace,0.06630032803903003,0.05891125571033115,0.07400630159921133,SLR
