Rank,Interval,lower,upper,mean,type,lower_CODLR,upper_CODLR,mean_CODLR
1,22,,,,,0.08707205730275767,0.12723445334226713,0.10625894763301143
1,23,,,,,0.09710747149159782,0.13964238754003916,0.11789488800293818
1,24,,,,,0.09773610870468574,0.14024223754168208,0.11841474060917329
2,1,,,,,0.15462418421362917,0.2043352766381834,0.17907352356398037
2,2,,,,,0.15308237149199913,0.19742334863489,0.17515168377490778
2,3,,,,,0.1607072870410393,0.21041467845714992,0.1849568926498207
2,4,,,,,0.152468036603563,0.20347482796447694,0.17742197023035336
2,5,,,,,0.15608086235986504,0.20785832637490978,0.18150409677151513
2,6,,,,,0.15243787403917872,0.20398875765852068,0.1781846504740351
2,7,,,,,0.1579119761653623,0.20953452591379176,0.1832298199211909
2,8,,,,,0.15915501809196297,0.20948902071139847,0.1836297402683853
2,9,,,,,0.15888991535868216,0.2132852208034802,0.18559951569719615
2,10,,,,,0.15424745071532245,0.2057747277687568,0.17953644933714433
2,11,,,,,0.15500283376358823,0.2073012061406691,0.18108686823705825
2,12,,,,,0.1663922810680132,0.21738773725542151,0.19158409630449613
2,13,,,,,0.16748594885802284,0.2249119709085167,0.19509872961285873
2,14,,,,,0.16065652516352538,0.2117133555590883,0.18559668013368918
2,15,,,,,0.15466556578981963,0.20810946067368322,0.18100630323931763
2,16,,,,,0.15512759194035702,0.2062957285276494,0.18027730355549523
2,17,,,,,0.15244951114562003,0.19927101356214438,0.17545914073645053
2,18,,,,,0.1468927137687267,0.19369470647218262,0.16981006856718683
2,19,,,,,0.1533195098985182,0.20184872883247496,0.17728984570844863
2,20,,,,,0.14054650284974768,0.18793022933251333,0.1640153125812138
2,21,,,,,0.1498028689094213,0.2000478644386212,0.17458701346911543
2,22,,,,,0.14922884819531454,0.20058895202024263,0.174774598973512
2,23,,,,,0.1476923379478084,0.20129583859621444,0.17421818642107925
2,24,,,,,0.1542636682020229,0.2068013903223689,0.1803089549038234
3,1,,,,,0.19291213768594834,0.2444216408317508,0.21847927752282728
3,2,,,,,0.19801763998402386,0.25118396379242064,0.22428592456464372
3,3,,,,,0.19428514622685436,0.2499620680185109,0.2212259085060296
3,4,,,,,0.18811648407087556,0.2465274169238998,0.2169333599198228
3,5,,,,,0.1953690278405344,0.25293973932202746,0.22342038789258312
3,6,,,,,0.19578012858388705,0.25376517058533526,0.22401415942483197
3,7,,,,,0.19557365635303814,0.25323431947821207,0.2240674709087051
3,8,,,,,0.19657691198617183,0.2559081032532438,0.22630233050622706
3,9,,,,,0.19713482073119723,0.2570752430762401,0.22666101921797502
