,Ego,Cross Entropy
80-20,michael-karnjanaprakorn,-4.158078364
80-20,michael-milberger,-4.92704841
80-20,michael-sharon,-4.395097958
80-20,michael-tabtabai,-5.097508002
80-20,michael-thacker,-4.473547376
80-20,michele-b,-1.636205273
80-20,michelle-shildkret,-2.944459843
80-20,mike-diliberto,-3.593296939
80-20,mike-dizon,-4.740833439
80-20,mike-dudas,-5.923915021
80-20,mike-fabio,-2.548896467
80-20,mike-mostransky,-3.582892999
80-20,mike-odea,-4.118027166
80-20,mike-street,-5.467257825
80-20,mikey-il,-6.556526763
80-20,mikhail-geisherik,-2.05059564
80-20,minsu-ju,-3.469042842
80-20,miriam-ryan,-1.84322277
80-20,mochi_oka,-4.946249992
80-20,mohit-santram,-2.830862401
80-20,morgan-brown,-3.462913677
80-20,morgan-holzer,-3.068040273
80-20,morgan-missentzis,-2.54698935
80-20,mplstv,-3.819098937
80-20,mtths,-5.001974887
80-20,nadia56,-4.442480337
80-20,nan-palmero,-3.271802663
80-20,nantan,-1.598493824
80-20,natanielle-murta,-4.995912913
80-20,nate-bolt,-4.42597299
80-20,nate-folkert,-2.977580466
80-20,nathan-archambault,-3.494370012
80-20,nathan-folkman,-2.032661913
80-20,nic-hernandez,-4.849336975
80-20,nic-werner,-5.35377053
80-20,nick-bilton,-3.602300714
80-20,nick-douglas,-5.798210357
80-20,nick-foden,-5.422118544
80-20,nick-johnson,-5.817849634
80-20,nick-lamb,-3.150300649
80-20,nick-vlku,-3.104294109
80-20,nicole-dcruz,-5.451504762
80-20,nicole-de-beaufort,-3.145103715
80-20,nicole-hering,-4.59166876
80-20,nikki5,-2.967065226
80-20,nina-kjarval,-3.506394716
80-20,nob-seki,-4.018458233
80-20,noelle-sadler,-4.169576126
80-20,octavio-maron,-3.094651337
80-20,onepiece-chopper,-2.705284081
80-20,orchid-liu,-4.69431244
80-20,orli-sharaby,-3.913920535
80-20,oscar-trelles,-5.039085454
80-20,otarako,-3.714832086
80-20,owen-thomas,-4.089693521
80-20,paloma-vazquez,-3.889578157
80-20,pamela-vaughter,-4.388592465
80-20,pat-bronson,-3.116406363
80-20,pat-hu,-2.375320012
80-20,patrick,-4.270547302
80-20,patrick-roanhouse,-3.203341879
80-20,patrick-simkins,-2.400795912
80-20,paul-stamatiou,-2.689606301
80-20,paull-young,-5.22575304
80-20,pav-c,-3.816376827
80-20,pete-3,-5.545321176
80-20,pete-dirksen,-4.265320319
80-20,pete-jelliffe,-4.318669588
80-20,peter-cortez,-5.433540566
80-20,peter-kim,-3.603469093
80-20,peter-knierim,-5.466062383
80-20,peter-mullen,-3.659845328
80-20,phil-buehler,-4.406938392
80-20,phil-gillman,-4.775398566
80-20,phil-hamilton,-7.953845477
80-20,philippe-surber,-5.298948993
80-20,phillip-lamplugh,-2.850613568
80-20,phoebe-e,-3.187726208
80-20,pierre-arlais,-1.086246388
80-20,pinkpeco,-1.959090232
80-20,poooooon-caraldo,-4.869614761
80-20,prashant-agarwal,-4.793742427
80-20,rachel-barbarotta,-4.384799661
80-20,rachel-levy,-5.101162962
80-20,rafael-p,-4.45231875
80-20,rafael-rivera,-6.658200424
80-20,rameet-chawla,-5.902446711
80-20,rannie-turingan,-6.964491564
80-20,regina-walton,-2.344358064
80-20,remington-guest,-3.130142168
80-20,renato-valdes-olmos,-4.120386974
80-20,ricardo-diaz,-4.128666099
80-20,richard-titus,-3.758358092
80-20,richie-edquid,-4.013263167
80-20,richlocation,-2.845413929
80-20,rick-jessup,-5.279846756
80-20,rick-turoczy,-5.400315076
80-20,rick-webb,-3.816635701
80-20,rick-wion,-5.227103303
80-20,ricky-engelberg,-4.446762963
80-20,riki-sekita,-3.304760898
80-20,ritwik-dey,-2.943059217
80-20,rob-fishman,-7.615484807
80-20,rob-hitt,-5.777494721
80-20,rob-schneider,-5.462417863
80-20,robert-scoble,-2.949095698
80-20,roberto-osorio-goenaga,-3.108533496
80-20,rod-begbie,-6.162665814
80-20,ron-schott,-4.219031203
80-20,ron-villacarillo,-3.387585543
80-20,rosie-siman,-4.780998899
80-20,ryan-king,-4.135698434
80-20,ryan-lawler,-3.462171858
80-20,ryan-matzner,-4.718949994
80-20,ryan-meray,-3.680262136
80-20,ryan-moede,-4.20644974
80-20,ryan-sarver,-3.668114208
80-20,sabine-de-witte,-6.190689497
80-20,sam-ys-yoo,-5.210799562
80-20,sam7,-4.677314079
80-20,sammy-silva,-3.526933708
80-20,sandro-pigoni,-5.336506921
80-20,sandro-pugliese,-3.161568748
80-20,sandy-bell,-4.251487356
80-20,sang-uk-bae,-4.156963425
80-20,sarah-conley,-3.001241973
80-20,sarah-cooley,-2.302101605
80-20,sarah-giardina,-3.241604875
80-20,sarah-harrison,-3.254405317
80-20,sarah-wulfeck,-5.591878353
80-20,saul-colt,-2.09847299
80-20,schneidermike-schneidermike,-6.759974313
80-20,scott-falconer,-3.903445174
80-20,scott-ferguson,-4.342087305
80-20,scott-gallaher,-4.825745018
80-20,sean-donovan,-3.816145761
80-20,sean-mcdonald,-3.792437399
80-20,selene-liszka,-4.067247533
80-20,senator-john-blutarski,-6.072221795
80-20,seth-blank,-3.438060266
80-20,seth-goldstein,-5.740772578
80-20,seth-weisfeld,-2.34779971
80-20,shane-vitarana,-5.396592193
80-20,sharman-ordoyne,-5.614312767
80-20,shaun-rance,-3.887050392
80-20,shehab-hamad,-4.841820715
80-20,shinya-ichinohe,-3.051551434
80-20,shinya-sakemoto,-2.401736684
80-20,siegfrid,-4.034495095
80-20,siobhan-quinn,-3.657433889
80-20,some-inu,-4.535589398
80-20,song-yeong-min,-3.392340837
80-20,soup-soup,-4.818241415
80-20,stan-chin,-2.900305662
80-20,steffen-siegrist,-2.822788992
80-20,stephan-macleod,-5.686336336
80-20,stephen-fox,-4.533184981
80-20,stephen-koch,-5.112654722
80-20,steve-levine2,-4.154818455
80-20,steve-luu,-4.794804081
80-20,steve-s07,-3.267577947
80-20,steven-suwatanapongched,-2.576649668
80-20,stuart-tracte,-3.452571083
80-20,sugutti-kova,-5.050901788
80-20,suki-b,-5.211668857
80-20,summer-bedard,-4.06866206
80-20,sung-ki-park,-5.717444397
80-20,sunghwan-kim,-5.109349767
80-20,sunny-ng,-4.603318259
80-20,sutae-kim,-4.236774734
80-20,suzanne-marlatt,-2.036891013
80-20,suzy-chase-osborne,-6.217271179
80-20,sven-ahrens,-4.059798669
80-20,syochin,-5.830026988
80-20,takafumi,-4.103355241
80-20,takeshi-yamamoto,-3.045244363
80-20,tara-hunt,-3.817955819
80-20,tara-jepson,-4.900383766
80-20,tarah-feinberg,-2.106691092
80-20,tatiana-krasnova,-2.485091593
80-20,tatiana-peck,-3.696548353
80-20,taylor-newby,-2.994928099
80-20,techgurujeff,-3.053384861
80-20,ted-rheingold,-6.455781024
80-20,terrence,-6.59611091
80-20,teru,-3.140496951
80-20,tessa-horehled,-6.049132059
80-20,tetsuya-sato,-3.723960548
80-20,thais-lima,-2.138965207
80-20,the-corcoran-group,-5.730580275
80-20,thefatapple,-2.365799172
80-20,theodora-blanchfield,-3.065523126
80-20,thomas-trumble,-3.728452318
80-20,thug-style,-3.355742103
80-20,tikva-morowati,-5.443870221
80-20,tim-kane,-3.377488911
80-20,tim-kersey,-3.544038262
80-20,tim-shey,-4.065671832
80-20,tim-vetter,-3.281679792
